Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svclin,99.81203007518798,99.89240347218538,99.2569823250938,99.15437385582295,0.5912490218317454,93.8345864661654,96.46018201391892,75.95340798976072,72.73849964303986,9.669157474148935,91.49700598802396,95.05552555538564,69.62860037632075,65.19450297002719,4.438061262268546,7.0,1
logistic,100.0,100.0,100.0,100.0,0.0,93.98496240601504,96.551076893885,76.26230339543034,73.20284988726621,11.223937754470366,91.25748502994011,94.8744867028308,70.23964689554752,66.21346745247745,3.206357778586072,7.0,1
random,99.54887218045111,99.7417038945717,98.21997853867916,97.98006927889642,0.4506435401361208,94.4360902255639,96.89560890393356,72.90930652999619,72.16648918133146,7.583720018411072,96.2874251497006,97.89228909901752,84.42747111681643,82.53218261738463,1.1045737326346348,7.0,1
knn,100.0,100.0,100.0,100.0,0.0,95.33834586466163,97.37589304331584,79.02282492529825,77.20240351278123,11.884035626890968,93.53293413173654,96.28623609207276,74.97318701969866,71.33347429706451,2.53954151445339,7.0,1
svcrbf,99.8662765702034,99.92470586567882,99.40296844931564,99.33186509705207,0.6977452571623174,96.38836689038033,97.99896838531878,81.17941463975619,79.9202669832354,15.485938403196853,94.8936170212766,97.17611438731151,73.35564135564135,71.8727967899247,3.416615633091844,8.0,1
svclin,99.66577517713468,99.81160501742244,98.52056780049163,98.34850979595082,0.8108887560899092,95.05055928411632,97.21526654863536,77.6101556101556,75.08827926117984,11.15754623609899,90.53191489361704,94.61839205368352,60.52090455326047,55.415180793360925,2.305528009634594,8.0,1
logistic,100.0,100.0,100.0,100.0,0.0,95.58657718120806,97.519297343653,79.75682262294839,77.63429324228404,12.784509697034249,90.95744680851064,94.84278764042216,63.18929669839237,58.50232213046733,4.372296763936105,8.0,1
random,99.7325531404068,99.84962396052804,98.7922821936482,98.64472123838492,0.7752640539172166,95.85592841163312,97.71857511458776,77.22619047619047,76.95491504546071,11.72322634512246,94.7872340425532,97.12194036909077,72.36404471698589,71.19446407403316,4.055237919936843,8.0,1
knn,100.0,100.0,100.0,100.0,0.0,95.98926174496644,97.76090720143002,80.47288195675291,78.89425787917762,6.899154824618273,93.82978723404256,96.53834026820864,71.61216831948539,68.23545510892188,3.5977516223981385,8.0,1
svcrbf,99.90895295902884,99.94933855498608,99.5510999721526,99.502504208032,0.4541712698989824,96.72357723577235,98.19034530977284,82.66705069124424,81.20228062939387,5.585283636271451,95.2657004830918,97.42229589722338,71.01604278074868,71.12155544036177,1.5128571352356204,,1
svclin,99.60560077252036,99.78021973189875,98.08052979698616,97.8839953788488,0.4373587063664461,95.3909830007391,97.42217059221612,78.14557169046333,75.79313489210304,7.267814383639017,94.68599033816425,97.06324420677365,72.1025641025641,69.37490402268875,3.235272210251326,,1
logistic,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.2660753880266,97.34798361195108,77.91452616220417,75.5277064740045,2.897571845741201,94.20289855072464,96.76742005794117,71.86920821252123,68.73671789897526,5.038696427239387,,1
random,99.6662068331264,99.81417449990532,98.36126406852492,98.184034831196,0.9033201744867174,95.75240206947524,97.67394766490784,75.52036065940405,74.51606733475836,4.555910769752926,95.07246376811594,97.3316135709958,67.85190615835776,69.78817855900793,2.8422827511472257,,1
knn,100.0,100.0,100.0,100.0,0.0,95.14560236511456,97.30077089625983,75.77937174711369,73.33276239561248,3.969494171031203,94.39613526570048,96.91683901270608,69.24310776942357,66.87319516014902,3.9848705835539566,,1
svcrbf,100.0,100.0,100.0,100.0,0.0,87.98573975044565,88.89860996312609,86.71985708025753,77.92573219650635,10.674125966521306,76.19047619047619,79.67006802721087,71.25116713352008,55.81639678563023,3.6705418362804334,1.0,2
svclin,100.0,100.0,100.0,100.0,0.0,88.57397504456328,88.47388632872504,88.5972985479627,78.08301318994697,9.536021508144222,80.47619047619047,81.11225208899627,79.7702135263111,61.15547178923873,3.8769784027417,1.0,2
logistic,100.0,100.0,100.0,100.0,0.0,90.37433155080214,90.2215945029038,90.51591545709194,81.07317668644853,9.934121891150062,80.95238095238095,81.4799154334038,80.39024390243904,62.017541344879234,4.76825885670756,1.0,2
random,100.0,100.0,100.0,100.0,0.0,91.58645276292334,91.82067352845344,91.32251082251082,83.4678321503242,9.722670610510074,76.66666666666666,78.41545893719807,74.60188933873144,54.0596502572761,3.980270055073153,1.0,2
knn,100.0,100.0,100.0,100.0,0.0,82.4777183600713,80.39682539682539,83.98875634169752,67.3257593544188,11.467534626574924,79.04761904761905,78.66310160427807,79.0,59.1670637812353,4.374679168386005,1.0,2
svcrbf,100.0,100.0,100.0,100.0,0.0,89.97551020408164,92.80139159406272,83.32811390530752,77.2537743563166,7.493359117490433,90.15873015873017,92.9348496998858,83.76113360323886,77.72496748856385,1.8101913907355829,2.0,2
