,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
160,0.875,2.9763514416313193,0.00206913808111479,400,7,0.2,1.0,48,0.786853255609727,0.07831302167781536,1.0,0.0
161,1.0,0.00206913808111479,0.00379269019073225,600,3,0.2,0.875,61,0.7773766195658428,0.09145467453176964,1.0,0.0
162,1.0,0.0011288378916846883,0.00206913808111479,700,3,0.6,0.625,54,0.7820587752134742,0.07054245336694541,1.0,0.0
163,1.0,0.04281332398719392,0.14384498882876628,400,4,0.5,1.0,57,0.7797008174171204,0.0768147705424182,1.0,0.0
164,0.75,0.26366508987303583,0.012742749857031334,800,7,0.30000000000000004,1.0,4,0.8311811885244188,0.05112688262508797,1.0,0.0
165,1.0,0.07847599703514607,0.0001,100,4,1.0,1.0,177,0.6776860954700534,0.07315156522693397,1.0,0.0
166,0.5,0.00206913808111479,0.0001,700,3,0.6,0.875,166,0.6909171992870018,0.0518981529258681,1.0,0.0
167,1.0,0.00379269019073225,0.023357214690901212,700,6,0.9,0.875,118,0.7416152433824876,0.11177403295775712,1.0,0.0
168,0.625,0.00379269019073225,5.455594781168514,300,4,0.8,0.625,170,0.6892455341663155,0.0895898962732247,0.990142463625012,0.0061164445062301155
169,0.625,0.0001,0.8858667904100823,700,5,0.8,0.5,172,0.6836214728621194,0.056192331757092075,1.0,0.0
170,1.0,5.455594781168514,0.00206913808111479,100,3,0.2,0.875,5,0.8250954046840704,0.06754207008876746,1.0,0.0
171,0.5,0.0011288378916846883,0.0011288378916846883,400,7,0.1,0.625,55,0.7813569082865739,0.025911783204524422,1.0,0.0
172,0.875,0.14384498882876628,0.14384498882876628,900,3,0.30000000000000004,0.75,65,0.7722674055772937,0.04172441582808368,1.0,0.0
173,0.875,0.00206913808111479,0.00379269019073225,800,5,0.6,0.75,73,0.7684759840917412,0.07760041740516248,1.0,0.0
174,0.625,0.07847599703514607,0.0011288378916846883,200,7,0.8,0.5,183,0.6659646264817665,0.08854348771841035,1.0,0.0
175,0.5,0.0011288378916846883,0.0011288378916846883,600,3,0.4,0.75,106,0.7508685879227788,0.08746338875034129,1.0,0.0
176,0.625,0.023357214690901212,0.04281332398719392,900,7,0.2,0.75,25,0.800439076726942,0.07062696882683121,1.0,0.0
177,1.0,0.0001,5.455594781168514,200,3,0.9,0.5,145,0.7214027659155523,0.07990002422202205,0.9728465833098003,0.014739458162636554
178,1.0,0.012742749857031334,0.023357214690901212,600,7,0.4,0.625,82,0.7610524346704595,0.1044734026183881,1.0,0.0
179,0.75,0.0069519279617756054,0.07847599703514607,200,7,0.8,0.5,171,0.686960245070326,0.064378447284964,1.0,0.0
180,0.75,0.07847599703514607,0.0069519279617756054,700,5,0.30000000000000004,0.875,49,0.7861359453476822,0.07637437964782921,1.0,0.0
181,0.5,0.4832930238571752,0.023357214690901212,500,4,0.2,0.875,17,0.8047037385122303,0.04981293727542266,1.0,0.0
182,0.75,0.0011288378916846883,0.00379269019073225,600,6,0.5,0.875,69,0.7712301816732102,0.06680462765433605,1.0,0.0
183,0.5,0.0003359818286283781,0.023357214690901212,800,4,1.0,0.875,199,0.42864136464379604,0.008568386190308657,0.6255156270326886,0.05407032789515645
184,0.625,2.9763514416313193,0.07847599703514607,300,7,0.4,1.0,101,0.7524599381190945,0.05414092639334109,1.0,0.0
185,0.5,0.0003359818286283781,0.00018329807108324357,200,4,0.4,0.625,144,0.7218257164721753,0.04211175055164,1.0,0.0
186,0.875,2.9763514416313193,0.00379269019073225,100,5,0.1,1.0,45,0.7888319308147484,0.0753217034729076,1.0,0.0
187,0.625,0.00206913808111479,10.0,800,5,0.4,0.875,99,0.7532713135133158,0.045412927591343716,0.9788399537884878,0.003911855191946986
188,1.0,0.26366508987303583,0.00379269019073225,400,3,0.2,0.75,46,0.7873220222470121,0.084526844730025,1.0,0.0
189,1.0,0.14384498882876628,0.00206913808111479,600,6,1.0,0.5,146,0.721270453424607,0.12568571467123443,1.0,0.0
190,0.625,0.00206913808111479,0.0001,800,7,0.4,1.0,102,0.752053460699455,0.056415497059864574,1.0,0.0
191,0.5,0.00018329807108324357,0.00206913808111479,600,4,0.2,0.5,66,0.7719943012288123,0.06624689739942824,1.0,0.0
192,0.625,0.00018329807108324357,0.8858667904100823,700,6,0.4,0.75,111,0.7445521753168325,0.07145039122296845,1.0,0.0
193,0.875,0.07847599703514607,0.012742749857031334,100,6,0.1,1.0,37,0.7940246143592915,0.11085593184180637,1.0,0.0
194,0.5,0.00018329807108324357,0.26366508987303583,400,3,0.5,1.0,91,0.7568254267861898,0.04056873042449084,1.0,0.0
195,0.5,0.26366508987303583,0.0006158482110660267,300,5,0.8,1.0,193,0.619675496774654,0.10034641766173566,1.0,0.0
196,0.5,0.00018329807108324357,0.8858667904100823,800,7,0.30000000000000004,1.0,70,0.7695894611861231,0.05415400856549567,1.0,0.0
197,0.75,1.623776739188721,0.4832930238571752,200,3,0.5,0.875,56,0.7805361629378844,0.08253944519819212,1.0,0.0
198,0.875,0.0006158482110660267,0.0003359818286283781,100,4,0.1,0.625,18,0.804265619662018,0.08028591460782623,1.0,0.0
199,0.75,10.0,5.455594781168514,600,6,1.0,0.5,164,0.6931032349966745,0.06570059782601916,0.9917293633872788,0.0052111409454997475
